x,T,rho,p
0.01,0.003458,1.00725,1
0.02,0.003458,1.00725,1
0.03,0.003458,1.00725,1
0.04,0.003458,1.00725,1
0.05,0.003458,1.00725,1
0.06,0.003458,1.00725,1
0.07,0.003458,1.00725,1
0.08,0.003458,1.00725,1
0.09,0.003458,1.00725,1
0.1,0.003458,1.00725,1
0.11,0.003458,1.00725,1
0.12,0.003458,1.00725,1
0.13,0.003458,1.00725,1
0.14,0.003458,1.00725,1
0.15,0.003458,1.00725,1
0.16,0.003458,1.00725,1
0.17,0.003458,1.00725,1
0.18,0.003458,1.00725,1
0.19,0.003458,1.00725,0.999997
0.2,0.00345793,1.0072,0.999926
0.21,0.00345729,1.00674,0.999284
0.22,0.00345468,1.00484,0.996651
0.23,0.00344826,1.00018,0.990181
0.24,0.0034368,0.991864,0.978694
0.25,0.00341998,0.979735,0.962003
0.26,0.00339811,0.964091,0.940602
0.27,0.00337183,0.945472,0.915314
0.28,0.00334186,0.924489,0.887056
0.29,0.0033089,0.901723,0.856686
0.3,0.00327354,0.877681,0.824944
0.31,0.00323631,0.852777,0.792427
0.32,0.0031976,0.827346,0.759608
0.33,0.00315776,0.801649,0.726848
0.34,0.00311703,0.775887,0.694421
0.35,0.00307562,0.750217,0.662531
0.36,0.00303369,0.724759,0.631327
0.37,0.00299138,0.699604,0.600917
0.38,0.00294877,0.674822,0.571378
0.39,0.00290596,0.650463,0.54276
0.4,0.002863,0.626568,0.515095
0.41,0.00281994,0.603166,0.488401
0.42,0.00277684,0.580277,0.462688
0.43,0.00273374,0.557922,0.43796
0.44,0.00269068,0.536122,0.41422
0.45,0.00264775,0.514908,0.391484
0.46,0.00260509,0.49434,0.369792
0.47,0.00256308,0.474572,0.349279
0.48,0.00252267,0.455998,0.330314
0.49,0.00248697,0.439795,0.314053
0.5,0.00246122,0.428658,0.30291
0.51,0.00245177,0.424574,0.298861
0.52,0.00245701,0.426261,0.300692
0.53,0.00246181,0.428015,0.302517
0.54,0.00246153,0.427755,0.302299
0.55,0.00246135,0.427654,0.302205
0.56,0.00246103,0.427685,0.302188
0.57,0.00246068,0.427754,0.302194
0.58,0.00246059,0.427803,0.302217
0.59,0.00246104,0.427778,0.302255
0.6,0.00246262,0.427558,0.302293
0.61,0.00246676,0.426899,0.302333
0.62,0.00247598,0.425362,0.30237
0.63,0.00249444,0.422275,0.302409
0.64,0.00252853,0.416658,0.302448
0.65,0.00258718,0.407331,0.302499
0.66,0.00268126,0.393237,0.302575
0.67,0.00282102,0.374033,0.302681
0.68,0.00301102,0.350717,0.302799
0.69,0.0032429,0.325777,0.302867
0.7,0.00349013,0.302602,0.302837
0.71,0.00371196,0.284277,0.302741
0.72,0.0038709,0.272365,0.302617
0.73,0.0039546,0.26641,0.302464
0.74,0.00398277,0.264497,0.302442
0.75,0.00398709,0.264263,0.302502
0.76,0.0039859,0.264341,0.302501
0.77,0.00398253,0.264506,0.302434
0.78,0.00397694,0.264665,0.302192
0.79,0.00397007,0.264663,0.301667
0.8,0.00396177,0.264223,0.300537
0.81,0.00395036,0.262889,0.298159
0.82,0.00393099,0.259875,0.2933
0.83,0.0038926,0.253766,0.283632
0.84,0.00381076,0.241553,0.264409
0.85,0.00362984,0.21715,0.226881
0.86,0.00328872,0.176977,0.168587
0.87,0.00293883,0.14039,0.118939
0.88,0.00279271,0.126525,0.101451
0.89,0.00278011,0.125303,0.100013
0.9,0.00278,0.125291,0.1
0.91,0.00278,0.125291,0.1
0.92,0.00278,0.125291,0.1
0.93,0.00278,0.125291,0.1
0.94,0.00278,0.125291,0.1
0.95,0.00278,0.125291,0.1
0.96,0.00278,0.125291,0.1
0.97,0.00278,0.125291,0.1
0.98,0.00278,0.125291,0.1
0.99,0.00278,0.125291,0.1
